label,coel_code,coel_label,mapping_type,comment
behavioural_bout,,,,"Root class, not mapped to COEL."
non_wear,,,,
sedentary,14.9.3.1,Sedentary,skos:closeMatch,GENEAbout sedentary related to COEL 14.9.3.1.
active,14.9.3.2,Active,skos:closeMatch,GENEAbout active related to COEL 14.9.3.2.
ambulatory,14.9.3.2,Active,skos:broadMatch,COEL 14.9.3.2 is broader than GENEAbout ambulatory flag.
slow_walk,14.5,Walking,skos:broadMatch,COEL 14.5 is a broader walking category than GENEAbout slow_walk.
fast_walk,14.5,Walking,skos:broadMatch,COEL 14.5 is a broader walking category than GENEAbout fast_walk.
run,14.4,Running,skos:closeMatch,GENEAbout run related to COEL 14.4.
sleep,13.1,Asleep,skos:closeMatch,COEL 13.1 is behaviourally related to sleep.
low_move_sleep,13.1,Asleep,skos:broadMatch,COEL 13.1 is behaviourally broader to low_move_sleep.
high_move_sleep,13.1,Asleep,skos:broadMatch,COEL 13.1 is behaviourally broader to high_move_sleep.
